Utterance,Intent
Cho mình hỏi về quy định cấp bằng tiến sĩ,policy
Quy định của trường về cấp bằng tiến sĩ là gì,policy
Trường quy định cấp bằng tiến sĩ như thế nào,policy
Điều kiện để được cấp bằng tiến sĩ là gì,policy
Làm sao để được cấp bằng tiến sĩ,policy
Quy định của trường về luận án của nghiên cứu sinh để được cấp bằng tiến sĩ là gì,policy
Ai thông qua luận án của nghiên cứu sinh tiến sĩ,policy
Ai là người thông qua luận án nghiên cứu sinh tiến sĩ,policy
Ai là người xác nhận nghiên cứu sinh đã hoàn thành việc sửa đổi bổ sung luận án tiến sĩ,policy
Nghiên cứu sinh cần sửa đổi bổ sung như thế nào để được cấp bằng tiến sĩ,policy
Ai xác nhận nghiên cứu sinh đã hoàn thành việc sửa đổi bổ sung luận án tiến sĩ,policy
Ai là người chịu trách nhiệm xác nhận nghiên cứu sinh đã hoàn thành việc sửa đổi bổ sung luận án tiến sĩ,policy
Quyết định sửa đổi bổ sung luận án tiến sĩ của ai đưa ra,policy
Ai là người ra quyết định sửa đổi bổ sung luận án tiến sĩ,policy
Nếu cần thẩm định thì như thế nào,policy
Thẩm định luận án tiến sĩ theo quy định nào,policy
Kết quả thẩm định đạt chuẩn được quy định ở đâu,policy
Quy định về nộp bản in và file luận án để được cấp bằng tiến sĩ như thế nào,policy
Nộp bản in và file luận án như thế nào để được cấp bằng tiến sĩ ,policy
Các tài liệu nào cần được đính kèm vào quyển toàn văn luận án,policy
Cần đính kèm tài liệu gì vào quyển toàn văn luận án,policy
Quy định về chữ ký của luận án tiến sĩ như thế nào,policy
Cần chữ ký của những ai vào toàn văn luận án và tóm tắt luận án hoàn chỉnh,policy
Quy trình xử lý kết thẩm định như thế nào,policy
Cho mình hỏi về quy trình xử lý kết thẩm định,policy
Căn cứ vào đâu để xử lý hồ sơ quá trình đào tạo chưa đạt yêu cầu thẩm định,policy
Bao lâu thì có văn bản báo cáo ĐHQGHCM về việc xử lý kết quả thẩm định,policy
Sau khi nhận được thông báo của ĐHQGHCM về kết quả thẩm định tiếp theo cần làm gì,policy
Bước tiếp theo sau khi nhận được thông báo của ĐHQGHCM về kết quả thẩm định là gì,policy
Đối với hồ sơ quá trình đào tạo chưa đạt yêu cầu thẩm định cần làm gì,policy
Cơ sở đào tạo có bao nhiêu hồ sơ quá trình đào tạo hoặc luận án không đạt yêu cầu thẩm định trong năm sẽ bị dừng tuyển sinh,policy
Cơ sở đào tạo có nhiều hồ sơ quá trình đào tạo hoặc luận án không đạt yêu cầu thẩm định trong năm sẽ bị gì,policy
Có nhiều hồ sơ quá trình đào tạo hoặc luận án không đạt yêu cầu thẩm định trong năm sẽ xử lý như thế nào,policy
Cơ sở đào tạo có nhiều hồ sơ không đạt yêu cầu thẩm định trong năm sẽ bị gì,policy
Cơ sở đào tạo có bao nhiêu hồ sơ không đạt yêu cầu thẩm định trong năm sẽ bị dừng tuyển sinh,policy
Có bao nhiêu hồ sơ quá trình đào tạo hoặc luận án không đạt yêu cầu thẩm định trong hai năm liên tiếp sẽ bị dừng việc thành lập Hội đồng đánh giá luận án và cấp bằng tiến sĩ ít nhất trong một năm kế tiếp,policy
Có nhiều hồ sơ quá trình đào tạo hoặc luận án không đạt yêu cầu thẩm định trong hai năm liên tiếp sẽ bị gì,policy
Có nhiều hồ sơ quá trình đào tạo hoặc luận án không đạt yêu cầu thẩm định trong hai năm liên tiếp sẽ bị xử lý như thế nào,policy
